"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"XXII","22nd Century Group, Inc","0.8643","$55.6M","nan","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii","AMEX"
"FAX","Aberdeen Asia-Pacific Income Fund Inc","5.46","$1.46B","1986","nan","nan","http://www.nasdaq.com/symbol/fax","AMEX"
"IAF","Aberdeen Australia Equity Fund Inc","7.12","$163.32M","nan","nan","nan","http://www.nasdaq.com/symbol/iaf","AMEX"
"CH","Aberdeen Chile Fund, Inc.","7.6","$71.34M","nan","nan","nan","http://www.nasdaq.com/symbol/ch","AMEX"
"ETF","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","12.84","$125.38M","1992","nan","nan","http://www.nasdaq.com/symbol/etf","AMEX"
"FCO","Aberdeen Global Income Fund, Inc.","9.36","$86.07M","1992","nan","nan","http://www.nasdaq.com/symbol/fco","AMEX"
"IF","Aberdeen Indonesia Fund, Inc.","7.76","$73.61M","1990","nan","nan","http://www.nasdaq.com/symbol/if","AMEX"
"ISL","Aberdeen Israel Fund, Inc.","17.83","$72.56M","1992","nan","nan","http://www.nasdaq.com/symbol/isl","AMEX"
"ACU","Acme United Corporation.","18.37","$60.96M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu","AMEX"
"AIII","ACRE Realty Investors, Inc.","1.62","$32.48M","nan","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii","AMEX"
"ATNM","Actinium Pharmaceuticals, Inc.","2.56","$90.83M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm","AMEX"
"AE","Adams Resources & Energy, Inc.","70","$295.23M","nan","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae","AMEX"
"ADK","Adcare Health Systems Inc","4.11","$79.52M","nan","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk","AMEX"
"ADK^A","Adcare Health Systems Inc","28.96","nan","nan","nan","nan","http://www.nasdaq.com/symbol/adk^a","AMEX"
"API","Advanced Photonix, Inc.","0.4","$14.95M","nan","Technology","Semiconductors","http://www.nasdaq.com/symbol/api","AMEX"
"ACY","AeroCentury Corp.","13.161","$20.31M","nan","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy","AMEX"
"WGA","AG&E Holdings, Inc.","0.87","$10.16M","nan","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga","AMEX"
"AIRI","Air Industries Group","10.05","$71.36M","nan","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi","AMEX"
"AA^","Alcoa Inc.","85.219","nan","nan","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^","AMEX"
"AXX","Alderon Iron Ore Corp.","0.27","$35.68M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx","AMEX"
"AXU","Alexco Resource Corp","0.3499","$24.35M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu","AMEX"
"AAU","Almaden Minerals, Ltd.","0.87","$63.64M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau","AMEX"
"APT","Alpha Pro Tech, Ltd.","2.24","$41.1M","nan","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt","AMEX"
"ALTV","Alteva (D/B/A)","7.29","$43.67M","nan","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv","AMEX"
"AAMC","Altisource Asset Management Corp","212","$467.79M","nan","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc","AMEX"
"DIT","AMCON Distributing Company","82","$50.5M","nan","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit","AMEX"
"APP","American Apparel Inc","0.7","$123.38M","nan","Finance","Business Services","http://www.nasdaq.com/symbol/app","AMEX"
"ADGE","American DG Energy Inc.","0.52","$27.28M","nan","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge","AMEX"
"AMZG","American Eagle Energy Corporation.","0.172","$5.24M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/amzg","AMEX"
"ALN","American Lorain Corporation","1.26","$44M","nan","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln","AMEX"
"AMS","American Shared Hospital Services","2.52","$13.51M","nan","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams","AMEX"
"AMPE","Ampio Pharmaceuticals, Inc.","7.85","$407.98M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe","AMEX"
"AXN","Aoxing Pharmaceutical Company, Inc.","1.85","$125.74M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn","AMEX"
"AMCO","Armco Metals Holdings, Inc.","1.16","$7.05M","nan","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco","AMEX"
"HRT","Arrhythmia Research Technology Inc.","7.27","$20.21M","nan","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt","AMEX"
"AKG","Asanko Gold Inc.","1.53","$301.17M","nan","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg","AMEX"
"AINC","Ashford Inc.","112","$222.53M","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc","AMEX"
"ASB/WS","Associated Banc-Corp","2.51","nan","nan","nan","nan","http://www.nasdaq.com/symbol/asb/ws","AMEX"
"AST","Asterias Biotherapeutics, Inc.","6.39","$206.48M","nan","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast","AMEX"
"ATL","Atlatsa Resources Corporation","0.1513","$83.86M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/atl","AMEX"
"AWX","Avalon Holdings Corporation","2.752","$10.47M","nan","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx","AMEX"
"AVL","Avalon Rare Metals, Inc.","0.2466","$34.82M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/avl","AMEX"
"ASM","Avino Silver","1.42","$50.47M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm","AMEX"
"BTG","B2Gold Corp","1.52","$1.4B","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg","AMEX"
